n_estimators,max_depth,random_state,RMSE,MAE
90,10,50,1.1469613254974855,0.8968253968253969
90,20,50,1.1469613254974855,0.8968253968253969
40,4,50,1.147110313692867,0.8969033932797758
70,5,4,1.1483906001448159,0.9061467463160814
30,5,50,1.1487151499455823,0.8775465024719563
50,5,50,1.1489245185178982,0.9008136157688883
50,5,30,1.1490766310100826,0.926755785220071
20,None,10,1.1496117356991198,0.8392857142857143
20,10,10,1.1496117356991198,0.8392857142857143
20,20,10,1.1496117356991198,0.8392857142857143
40,None,10,1.1506985456048613,0.8785714285714287
40,10,10,1.1506985456048613,0.8785714285714287
40,20,10,1.1506985456048613,0.8785714285714287
60,None,50,1.151327735944703,0.8976190476190476
60,10,50,1.151327735944703,0.8976190476190476
60,20,50,1.151327735944703,0.8976190476190476
50,5,4,1.15153405035636,0.9160765332778877
60,None,30,1.1520857551856056,0.9214285714285715
60,10,30,1.1520857551856056,0.9214285714285715
60,20,30,1.1520857551856056,0.9214285714285715
70,4,50,1.1525457272874837,0.9119506690176378
60,4,50,1.152560073522019,0.920259765781349
50,None,50,1.152797838800393,0.9042857142857141
50,10,50,1.152797838800393,0.9042857142857141
50,20,50,1.152797838800393,0.9042857142857141
10,2,10,1.153095712178798,0.9883220107564404
30,3,10,1.153147992750858,0.9603168971889827
80,4,50,1.1552959255871609,0.9194167631115218
80,4,4,1.1555066417272628,0.9448268302077624
40,4,4,1.1555578649163165,0.9541687584690189
50,None,30,1.1558052233338083,0.9314285714285716
50,10,30,1.1558052233338083,0.9314285714285716
50,20,30,1.1558052233338083,0.9314285714285716
100,4,50,1.1575349202398144,0.9298606465118315
90,5,4,1.1578814688226438,0.9177292783768565
70,5,10,1.158452317903311,0.9285812328873261
10,3,50,1.1587650562353837,0.9330641382427095
80,None,10,1.1587882371561373,0.9142857142857144
80,10,10,1.1587882371561373,0.9142857142857144
80,20,10,1.1587882371561373,0.9142857142857144
80,None,20,1.1589519588219104,0.9285714285714287
80,10,20,1.1589519588219104,0.9285714285714287
80,20,20,1.1589519588219104,0.9285714285714287
80,5,20,1.1590683363107042,0.9309703267962198
60,5,30,1.1595142778654222,0.9321179162548212
30,None,50,1.1597071332541828,0.8857142857142858
30,10,50,1.1597071332541828,0.8857142857142858
30,20,50,1.1597071332541828,0.8857142857142858
60,5,10,1.1597356723217336,0.9084034328474982
90,4,50,1.1600900029139134,0.927106074278026
50,4,50,1.1602084142190807,0.9313096977556313
30,3,4,1.1615351634883706,1.00868387423842
100,5,4,1.1622532920422632,0.918507370947334
70,3,50,1.162384321651439,0.9721677043984507
20,3,4,1.1625002851779354,1.0121230941520296
20,4,10,1.1639743314445812,0.9190302146828505
